Addresse,code_postale,departement,Latitude,Longitude,Distance,DurationPoliceMin,MinDistGar,MoyDistGar,train,rer,metro,tramway,Population2017,Densite,Superficie2017,NomMenage,NombreTotalLogement,TauxActive15_64,TauxChomage15_64
Mittainville 78125,78125,78,48.6653223,1.6235263999999998,14.865583718970747,0.37333333333333335,7.951941083451244,60.12569108036858,1,0,0,0,897.7272727272727,62.17272727272727,15.97272727272727,347.8181818181818,412.27272727272725,77.06363636363636,7.7
Moigny-sur-École 91490,91490,91,48.4326946,2.45672,19.74810519631914,0.4677777777777778,5.926688178054343,51.078036674432795,0,1,0,0,1612.8,114.17999999999999,13.62,690.0,808.2,77.52,7.8
Moisenay 77950,77950,77,48.5619807,2.7358168,5.941927582210889,0.20833333333333334,7.108998848112534,47.75015820618426,1,1,0,0,1309.8333333333333,236.16666666666663,7.45,494.5,525.8333333333334,78.13333333333333,7.866666666666666
Moissy-Cramayel 77550 (Centre-ville),77550,77,48.6268335,2.5890767999999995,1.1316845530132094,0.05138888888888889,1.4471551745242401,37.29114980272503,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Jatteau),77550,77,48.6310686,2.5863703,1.0131962085583737,0.04833333333333333,1.2731196742378719,36.89438528157567,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Les Grès),77550,77,48.6281686,2.6042537,2.249745238375581,0.09694444444444444,2.5558058796192435,37.75967416549493,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Les Hauldres),77550,77,48.629275,2.603675,2.2149374297891806,0.09388888888888888,2.515005746853776,37.66115198496643,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Les Maillettes),77550,77,48.62030410000001,2.5853403,1.1669297015097422,0.07722222222222222,1.467967176799865,37.62405943064496,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Lugny),77550,77,48.6241764,2.58172,0.691159906592251,0.04055555555555555,1.009199830577595,37.21782079718652,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Moissy-Cramayel 77550 (Noyer Perrot),77550,77,48.6238604,2.5986285,1.8767793729230875,0.07972222222222222,2.1992160679563146,37.850438235533986,0,1,0,0,5066.75,368.325,10.625,1780.25,1904.0,71.7,8.35
Mondeville 91590,91590,91,48.4910975,2.4154927,13.923797986488692,0.46444444444444444,4.753066681299877,45.084397683126596,0,1,0,0,1641.0,235.4625,8.0875,659.0,728.625,79.82499999999999,7.3375
Mondreville 77570,77570,77,48.1435271,2.6112647,15.398152314724445,0.35944444444444446,10.185870857969581,82.334314831415,1,0,0,0,763.2857142857143,41.08571428571429,16.02857142857143,315.42857142857144,409.42857142857144,78.35714285714286,10.014285714285714
Mondreville 78980,78980,78,48.9025052,1.5531173,14.60072411601303,0.37333333333333335,3.7713504291726654,61.483236220157124,1,0,0,0,778.0,91.89999999999999,7.5857142857142845,303.2857142857143,368.0,78.57142857142858,8.285714285714285
Mons-en-Montois 77520,77520,77,48.488461,3.1501517000000003,13.769472887408327,0.3488888888888889,7.89907452049441,73.95768997813913,1,0,0,0,613.5,60.83333333333334,8.766666666666666,244.08333333333334,289.0833333333333,77.59166666666667,9.875
Montainville 78124,78124,78,48.8819027,1.8607397,10.240644989523613,0.27361111111111114,1.49660496901266,40.874306948670345,1,0,0,0,1106.0,249.8,4.55,419.0,476.5,75.65,6.35
Montcourt-Fromonville 77140,77140,77,48.3013046,2.7058118,3.7607336969706218,0.14972222222222223,3.6266306246813986,68.66692385898122,1,0,0,0,4407.8,373.9599999999999,11.96,1880.6,2109.4,74.32,11.96
Montereau-Fault-Yonne 77130,77130,77,48.38496470000001,2.9557006,0.5566111454186715,0.06305555555555556,1.1482331788224045,70.69308924724743,1,0,0,0,3068.75,311.27500000000003,11.774999999999999,1183.1666666666667,1314.9166666666667,74.38333333333334,12.458333333333334
Montereau-Fault-Yonne 77130 (Ville basse),77130,77,48.3997,2.9978,3.1571915041924146,0.15888888888888889,4.668213845792818,71.58357776926258,1,0,0,0,3068.75,311.27500000000003,11.774999999999999,1183.1666666666667,1314.9166666666667,74.38333333333334,12.458333333333334
Montereau-Fault-Yonne 77130 (Ville haute),77130,77,48.3997,2.9978,3.1571915041924146,0.15888888888888889,4.668213845792818,71.58357776926258,1,0,0,0,3068.75,311.27500000000003,11.774999999999999,1183.1666666666667,1314.9166666666667,74.38333333333334,12.458333333333334
Montesson 78360 (Centre-ville),78360,78,48.9135295,2.1205908,2.5052632044403387,0.1775,1.7335723860788297,26.537260950535728,0,1,0,0,15019.0,2040.6,7.4,5812.0,6163.0,76.4,8.6
