Unnamed: 0,id_hourse,Addresse,Titre,Prix,Surface,Nb_piece,Nb_chambre,Parking,Jardin,Ascenseur,Terrasse,Garage,Prix_sur,Reference,Date_publication,Date_modification,Titre_description,Description
212,YV78_216,Gommecourt 78270,"Maison Gommecourt 5 pièces 104 m². MAISON 5 PIÈCES AU CALME - AVEC TERRASSE - ENTRE LA ROCHE GUYON ET GIVERNY - PARC DU VEXIN
À vendre : découvrez cette maison T5 au calme de 104 m², localisée à GOMMECOURT (78270).
Cette belle longère pleine de charme vous séduira par ses beaux volumes. Construite sur deux niveaux elle se compose au rez de chaussée d'un séjour double de 37 m², d'une grande cuisine aménagée équipée, d'un bureau, une salle de bain, un wc séparé et une buanderie permettant d'accéder à une mezzanine. A l'étage un grand palier permet d'accéder à deux chambres dont une équipée d'un dressing.
Une cour de 48 m² offre à cette maison de l'espace supplémentaire bienvenu permettant de manger et de profiter de l'extérieur.
Le bien est proche de toutes commodités : il se situe à 3,5 km des commerces et à cinq minutes à pied des écoles. On trouve un arrêt de bus à deux minutes de la maison ainsi que la gare à 11 minutes. Il y a deux restaurants à quelques pas du logement.
N'hésitez pas à prendre contact avec votre agence Laforêt MANTES EN YVELINES pour une première visite de cette maison en vente dans un charmant village.",179 000 €,104 m²,5 pièces,3 chambres,,Jardin,,1 terrasse,,1 721 €/m²,Réf. de l’annonce : 14103,Publiée il y a plus de 2 mois,Modifiée le 17 oct. 2020,"Achat maison 5 pièces 104 m², Gommecourt - 179 000 €",Descriptif de cette maison à vendre de 5 pièces et 104 m²
213,YV78_217,Chatou 78400 (Ouest),"Maison Chatou 190 m² + dépendance 40 m². Exclusivité Agence Principale. Chatou, édifiée sur une parcelle arborée de 740 m² maison familiale 1985 non mitoyenne d'environ 190 m² de surface habitable qui offre au rez-de-chaussée: une véranda jouxtant une entrée avec placards, un salon séjour de 42 m² avec cheminée qui s'ouvre sur une terrasse et le jardin, une cuisine indépendante équipée, deux chambres, une salle de bains, toilettes séparées.
Le premier étage dispose d'une grande chambre avec sa salle de bains attenante et une grande pièce de vie d'environ 55 m² au sol permettant d'aménager deux ou trois autres chambres.
Le sous-sol total dispose d'un grand garage de 80m², d'une salle d'eau avec wc, d'une cave à vin. La possibilité de faire stationner deux autres véhicules sur la parcelle et une dépendance de 40 m² totalement aménagée avec salon, cuisine, chambre, salle de bains avec wc complètent ce bien offrant un très beau potentiel et située à 17 minutes à pied du RER ou à 7 minutes en bus. dont 4.00 % honoraires TTC à la charge de l'acquéreur.",988 000 €,190 m²,10 pièces,7 chambres,4 places de parking,Jardin,,1 terrasse,,5 000 €/m²,Réf. de l’annonce : 158995,Publiée il y a plus de 2 mois,Modifiée le 27 oct. 2020,"Achat maison 10 pièces 190 m², Chatou - 988 000 €",Descriptif de cette maison à vendre de 10 pièces et 190 m²
214,YV78_218,Médan 78670,"MEDAN-EXCLUSIVITE. L'AGENCE DE VILLENNES vous propose en exclusivité, à MEDAN, une magnifique propriété, édifiée sur 11000m2 de terrain en zone naturelle, non divisible et non constructible. Cette belle et imposante demeure construite en 1924 a gardé son caractère d'antan et est identifiée au patrimoine urbain. Le parc est exceptionnel avec des essences d'arbres uniques, une allée de tilleuls majestueuse. La maison se compose d'une entrée ouvrant sur une pièce de réception de 62m2 avec boudoir, cheminée, poutraison et parquet ancien. De ce salon on accède à la terrasse couverte offrant un panorama imprenable. Une salle à manger, une grande cuisine séparée avec accès jardin et des toilettes avec lave-mains complètent ce niveau. A l'étage: palier, 1 chambre avec salle d'eau et toilettes, 2 chambres avec lavabo, 1 chambre avec salle d'eau et rangement, 1 chambre/lingerie avec placard et lavabo, toilettes. Grenier. Au sous-sol: garage double, cellier, chaufferie gaz, buanderie, deux ateliers et une grande cave en terre battue, toilettes. Située dans le coeur historique de MEDAN, à pied de l'école élémentaire, proche de VILLENNES et de sa gare SNCF (futur RER E), transport pour Notre Dame des Oiseaux et le Lycée International de St Germain de Laye, Express A14, accès rapide A13/A14. Bien rare et enchanteur.",1 395 000 €,245 m²,8 pièces,5 chambres,,Jardin,,Terrasse,,5 423 €/m²,Réf. de l’annonce : 5114,Publiée il y a plus de 2 mois,Modifiée le 10 nov. 2020,"Achat maison 8 pièces 245 m², Médan - 1 395 000 €",Descriptif de cette maison à vendre de 8 pièces et 245 m²
215,YV78_219,Auffargis 78610,"Maison familiale avec 5 chambres sur sous-sol total et piscine, dépendance possible. EXCLUSIVITÉ avec garantie revente - 78610- À 2 minutes du Perray-en-Ynes et de sa gare, à 10 minutes à pieds de l'écoles, dans la commune d'Auffargis avec commerces de proximité (épicerie, pharmacie, boulangerie, cave à vins, bar tabac restaurant, coiffeur) cette maison familiale sur sous-sol total est située au fond d'une allée au calme absolu et sans vis à vis. Elle est composée d'une entrée donnant sur le salon-séjour traversant, ouvert sur une grande terrasse et le jardin exposé sud, d'une cuisine aménagée et équipée, d'une chambre avec salle de bain. Au 1er étage vous découvrirez 4 chambres et une salle de bain. La visite continue par le sous-sol avec un garage pouvant accueillir 3 voitures, une pièce atelier, une buanderie et une cave à vin. Coté jardin, une piscine de 5 par 10 , plusieurs abris de jardin, un potager et un poulailler.Ses atouts: belle luminosité, portail et portillon motorisés, visiophone, garage de 50m2, cave à vins, piscine d'eau salée 5X10, chauffée et couverte; ravalement en 2019, possibilité d'extension ou de construction d'une dépendance.. Visite VIRTUELLE à la demande.
Prix : 598 000 euros dont 3.5 % d'honoraires charges acquéreurs soit 577780 euros net vendeur. Pour plus de renseignements contacter localement Véronique Da Costa agissant sous le statut d'agent commercial au Voir le téléphone ou par courriel à Contacter en précisant la réf. 247683VDC. RCS 487 624 777 Mandat n°247683 dont 3.50 % honoraires TTC à la charge de l'acquéreur.",598 000 €,157 m²,7 pièces,5 chambres,1 place de parking,Jardin,,,,3 680 €/m²,Réf. de l’annonce : 247683VDC,Publiée il y a plus de 2 mois,Modifiée le 4 déc. 2020,"Achat maison 7 pièces 157 m², Auffargis - 598 000 €",Descriptif de cette maison à vendre de 7 pièces et 157 m²
216,YV78_220,Neauphle-le-Château 78640,"Maison ancienne avec jardin. VISITE 3D IMMERSIVE DISPONIBLE ! EXCLUSIVITE MIEZIMMO... COEUR VILLAGE, TOUT A PIED ! Maison ancienne avec atelier et jardin idéalement située au pied des commerces, écoles et transports... Elle vous propose un grand porche commun, permettant l'accès à un atelier de 32m2, au jardin clos et au rez-de-chaussée comprenant une réception avec cuisine ouverte équipée. Au 1er étage : Une chambre, une salle de bains et un wc indépendant. Au 2ème étage : 2 chambres mansardées dont une traversante. Petit copropriété de 2 lots avec faibles charges (160EUR/an). Jardin sans vis-à-vis, centre village à pied, installez-vous !",284 000 €,"70,61 m²",4 pièces,3 chambres,,Jardin,,,,3 824 €/m²,Réf. de l’annonce : 1765,Publiée il y a plus de 2 mois,Modifiée le 7 déc. 2020,"Achat maison 4 pièces 71 m², Neauphle-le-Château - 284 000 €",Descriptif de cette maison à vendre de 4 pièces et 71 m²
217,YV78_221,Les Mureaux 78130 (Centre-ville),"Maison Les Mureaux 6 pièce(s) 110 m2. Situé en plein centre ville Des Mureaux. Maison de 1948. Sur deux niveaux d'habitation. En Rdc : entrée, séjour-salon, cuisine aménagée et équipée, salle d'eau avec wc. A l'étage (accessible par l'entrée et le séjour) : palier, pièce ouverte, 3 chambres, salle de bains avec wc. Grenier de 18m² aménageable. * Surface habitable d'environ 110m² (R0 de 42m² - R1 de 68m²). Chauffage gaz de ville. Production eau chaude par ballon électrique. Fenêtres bois double vitrage Volets roulants électriques Grande Cour intérieur. Garage de 19m². Pièce atelier de 24m². Cave voûtée en sous-sol. Tous est proche... commerces gare écoles service. A visiter très rapidement.",282 000 €,110 m²,6 pièces,4 chambres,4 places de parking,Jardin,,,,2 455 €/m²,Réf. de l’annonce : 007044E1PWIL,Publiée il y a plus de 2 mois,Modifiée le 6 nov. 2020,"Achat maison 6 pièces 110 m², Les Mureaux - 282 000 €",Descriptif de cette maison à vendre de 6 pièces et 110 m²
218,YV78_222,Fourqueux 78112,"Villa familiale entre Commerces et Lycée International. Possibilité d'agrandissement pour cette Belle Villa avec jardin arboré et fleuri au coeur de Fourqueux, de ses commerces et des Ecoles Internationales.
Idéale pour répondre aux besoins d'une famille, la maison est composée d'un vaste séjour de plus de 40m2, à triple exposition avec poêle en faïence, une cuisine dinatoire indépendante-équipée s'ouvrant directement sur une large terrasse et le jardin, une buanderie-lingerie, 2 dressings, une salle d'eau avec wc.
A l'étage vous découvrirez une zone palière desservant 3 chambres dont une suite parentale avec baignoire balnéo et une salle d'eau avec wc.
Les combles ont été aménagées en un espace détente, atelier d'artiste ou une 4ème chambre mansardée .
Un garage attenant à la maison avec accès direct par l'intérieur ajoute à la praticité de cette maison lumineuse et très fonctionnelle riche d'un jardin entièrement clos.
Maison rare sur ce Secteur Privilégié dont 4.00 % honoraires TTC à la charge de l'acquéreur.",1 220 000 €,"146,39 m²",6 pièces,4 chambres,1 place de parking,Jardin,,1 terrasse,,8 013 €/m²,Réf. de l’annonce : 11065,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,"Achat maison 6 pièces 146 m², Fourqueux - 1 220 000 €",Descriptif de cette maison à vendre de 6 pièces et 146 m²
219,YV78_223,Saint-Hilarion 78125,"Maison à rénover. Proche des gares de Gazeran et d'Epernon, cette maison de 60 m2, à rénover, offre une entrée, un séjour, une cuisine, une chambre et une salle de bains. En annexes: 2 pièces, un atelier et un garage. Cave. Terrain boisé de 1134 m2. EXCLUSIVITE",215 000 €,60 m²,3 pièces,1 chambre,,Jardin,,,,3 583 €/m²,Réf. de l’annonce : CL2-183,Publiée il y a plus de 2 mois,Modifiée le 23 nov. 2020,"Achat maison 3 pièces 60 m², Saint-Hilarion - 215 000 €",Descriptif de cette maison à vendre de 3 pièces et 60 m²
220,YV78_224,Mareil-sur-Mauldre 78124,"Century 21 vous propose cette maison de plain pied, construction type chalet, dans un secteur calme. Cette maison vous charmera de part ses volumes, elle est édifiée sur un terrain de 10490m². Elle comprend: une entrée, un dressing, un séjour de 100m², une salle de danse, cuisine aménagée et équipée, deux salle d'eau avec wc et une salle de bain avec douche et wc, ainsi que trois grandes chambres de minimum 22m², un double garage. Ainsi qu'une dépendance divisée en 3 type studio avec salle d'eau/wc indépendante Un beau potentiel pour une salle de réception ou un gîte. Travaux à prévoir. Agent commercial",785 000 €,348 m²,7 pièces,3 chambres,2 places de parking,Jardin,,,,2 256 €/m²,Réf. de l’annonce : 3356,Publiée il y a plus de 2 mois,Modifiée le 1 déc. 2020,"Achat maison 7 pièces 348 m², Mareil-sur-Mauldre - 785 000 €",Descriptif de cette maison à vendre de 7 pièces et 348 m²
221,YV78_225,Vaux-sur-Seine 78740,"MAISON VAUX SUR SEINE. EXCLUSIVITÉ WEELODGE - Belle maison année 1930 édifiée sur 1000 m² de terrain, parfaitement décorée, et avec de nombreuses pièces. Cette dernière saura accueillir des amoureux de l'ancien.
Avec son séjour, salle à manger donnant sur une cuisine très récente, peu de travaux seront à prévoir. On y trouve aussi une chambre ainsi qu'une belle salle de bains.
À l'étage : une belle chambre de 11 m² une pièce annexe et une salle de bains.
Un sous-sol semi enterré vous offre 2 belles chambres ainsi qu'un bureau, et un accès cellier et chaudière.
À visiter avec votre conseiller WEELODGE!",499 900 €,140 m²,6 pièces,4 chambres,,Jardin,,Terrasse,,3 571 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 44024-4482812,"Achat maison 6 pièces 140 m², Vaux-sur-Seine - 499 900 €",Descriptif de cette maison à vendre de 6 pièces et 140 m²
222,YV78_226,Villepreux 78450,"VILLEPREUX CENTRE, MAISON AU PIED DE TOUTES LES COMMODITÉS.. 'EXCLUSIVITÉ MIEZIMMO'... Très jolie maison au coeur de la commune de Villepreux située dans un quartier recherché pour des familles avec enfants, toutes les commodités à pied (écoles, commerces, square, médecins, gare...), elle vous offre de plain pied, 2 parkings privés, entrée, garage avec espace buanderie, cuisine donnant directement sur le jardin aménagé en terrasse entièrement clos (idéal si vous avez des enfants en bas âges). Au 1er étage, palier parqueté, belle salle de réception parquetée, chambre ou bureau parqueté, salle de douche récente avec wc et fenêtre. Au second niveau, palier parqueté, trois chambres, salle de douche avec wc et fenêtre. (volets électriques, alarme, ballon eau chaude de 300 litres, double vitrage partout... Rien à faire, parlons-en !",298 000 €,92 m²,5 pièces,4 chambres,2 places de parking,Jardin,,,,3 152 €/m²,Réf. de l’annonce : 1755,Publiée il y a plus de 2 mois,Modifiée le 7 déc. 2020,"Achat maison 5 pièces 92 m², Villepreux - 298 000 €",Descriptif de cette maison à vendre de 5 pièces et 92 m²
223,YV78_227,Montfort-l'Amaury 78490,"Longère en pierres , 8' Montfort. Village recherché jolie longère bien orientée offrant un séjour vaste et lumineux avec une belle hauteur sous plafond, cuisine équipée, 4 chambres sur parquet dont deux au rdc, salle de bains et salle d'eau, sous sol total. Jardin clos d'environ 1500m² avec vue dominante. Commerces à 3 minutes . RARE!
Prix : 450 000 dont 4.00 % honoraires TTC à la charge de l'acquéreur.",450 000 €,140 m²,6 pièces,4 chambres,,Jardin,,,,3 091 €/m²,Réf. de l’annonce : 19,Publiée il y a plus de 2 mois,Modifiée le 27 oct. 2020,"Achat maison 6 pièces 140 m², Montfort-l'Amaury - 450 000 €",Descriptif de cette maison à vendre de 6 pièces et 140 m²
224,YV78_228,Les Clayes-sous-Bois 78340 (Ouest),"Maison Les Clayes Sous Bois - 5 pièce(s) - 95 m2. Les Clayes-sous-bois, quartier calme et recherché, maison individuelle, proche commerces et toutes les commodités à 12 minutes à pied de la gare.
Edifiée sur un terrain de 516 m² , cette maison compte 5 pièces dont 3 chambres et un sous-sol total de 95m² avec fosse voiture idéale pour Bricoleur!
Maison plain-pied qui se compose d'une entrée, une cuisine équipée, un double séjour lumineux avec cheminée, un dégagement donnant sur une salle de bains, WC, et 3 chambres dont une suite parentale avec une salle de douche et WC.
Rare sur le secteur, à venir voir rapidement!!!
Une exclusivité Stéphane Plaza Immobilier Les Clayes-sous-bois
Voir le téléphone",444 000 €,95 m²,5 pièces,3 chambres,4 places de parking,Jardin,,,,4 674 €/m²,Réf. de l’annonce : 1431,Publiée il y a plus de 2 mois,Modifiée le 5 déc. 2020,"Achat maison 5 pièces 95 m², Les Clayes-sous-Bois - 444 000 €",Descriptif de cette maison à vendre de 5 pièces et 95 m²
225,YV78_229,Limetz-Villez 78270,"Maison Limetz Villez 5 pièces 156 m². MAISON 5 PIÈCES AU CALME - AVEC JARDIN
À vendre : venez découvrir cette maison T5 au calme de 156 m² et de 1 000 m² de terrain, à LIMETZ VILLEZ (78270).
C'est une maison datant de 1962. Elle se compose comme suit : Au rez de chaussée une cuisine indépendante, un salon ouvrant sur une véranda, une chambre, une salle de bains, des wc et un bureau avec un escalier qui permet d'accéder à l'étage.
A l'étage une belle pièce de vie 36 m², deux belles chambres, une salle de bains avec WC.
Elle comporte également des combles de 22m², et un sous-sol total, avec un grand garage de 38m².
La maison dispose de radiateurs alimentés au fuel. Cette maison T5 est en bon état général mais l'intérieur nécessite un rafraîchissement.
Cette maison dispose également d'un jardin agréable et arboré.
Le bien est situé dans la commune de Limetz-Villez. On trouve des établissements scolaires maternelles et primaires dans la commune.
Cette maison est exclusivement à vendre par Laforêt en mandat Favoriz. Envie d'en savoir plus sur cette maison en vente ? Prenez contact avec votre agence Laforêt MANTES LA JOLIE.",245 000 €,156 m²,5 pièces,3 chambres,,Jardin,,,,1 571 €/m²,Réf. de l’annonce : 13649,Publiée il y a plus de 2 mois,Modifiée le 3 déc. 2020,"Achat maison 5 pièces 156 m², Limetz-Villez - 245 000 €",Descriptif de cette maison à vendre de 5 pièces et 156 m²
226,YV78_230,Vernouillet 78540,"Maison Vernouillet 9 pièce(s) 200 m2. -EXCLUSIVITE -
La Dernière Nouveauté de cette Rentrée signée Guy Hoquet, (Sabrina Regreny Voir le téléphone pour tous les Plans et photos)
BATISSE DE CARACTERE INDIVIDUELLE A 2 PAS DE LA GARE VERNEUIL-VERNOUILLET, POUR AMATEURS D'ANCIEN EN RECHERCHE D'UNE MAISON RICHE D'HISTOIRE SUR VERNOUILLET !
Depuis le Rez-de-chaussée : Vestibule d'entrée en carreaux de ciment d'époque, Palier, Salon Dinatoire avec plancher Massif en Points de Hongrie, Salon de repos donnant sur Salon-Bibliothèque avec Bow-Window, Cuisine dinatoire avec accès sur Véranda.
Empruntez l'escalier majestueux et accédez depuis le Hall du 1er étage à la partie Nuit composée d'une Suite Parentale, d'une Salle de bains avec Baignoire sur pied, et d'une 2eme chambre.
Au niveau 2 : 3 chambres supplémentaires.
LA 2eme PARTIE (AGRANDISSEMENT datant de 100 ans) de la Bâtisse propose une Entrée différenciée, une buanderie, un garage-atelier, une petite cuisine, une Salle d'eau, ainsi qu'une Chambre à l'étage.
IDEAL Profession à domicile ou INVESTISSEUR (à diviser), ou tout simplement pour recevoir en B&B !
Au sous sol : 3 caves et un dégagement.
PLUS D'INFORMATIONS AUPRES DE SABRINA REGRENY Voir le téléphone , AGENCE GUY HOQUET VERNEUIL-SUR-SEINE.",570 000 €,200 m²,9 pièces,6 chambres,,Jardin,,,,2 850 €/m²,,Publiée il y a plus de 2 mois,Réf. de l’annonce : 919,"Achat maison 9 pièces 200 m², Vernouillet - 570 000 €",Descriptif de cette maison à vendre de 9 pièces et 200 m²
